Month	Temp (C)	Precip(cm)	Height(cm)	Deer	Virus
0	-1.86	24.77	2.54	1	0
1	11.42	24.56	11.63	0	0
2	15.61	33.87	18.46	1	0
3	17.63	37.58	16.44	2	0
4	25.32	26.87	11.46	3	0
5	23.52	22.32	3.84	4	0
6	23.44	12.16	0.00	3	0
7	23.90	4.75	0.00	2	0
8	21.60	1.53	0.00	1	0
9	10.00	7.78	0.00	0	0
10	11.69	3.46	7.51	0	0
11	8.40	11.34	10.37	1	0
12	9.96	26.28	19.92	2	0
13	6.19	33.42	27.13	3	0
14	17.45	36.16	46.59	4	0
15	23.01	36.19	36.54	5	0
16	23.92	33.36	21.30	6	1
17	21.61	25.73	6.06	7	2
18	27.39	10.13	0.00	5	3
19	24.18	8.32	0.00	1	4
20	19.88	7.97	0.00	0	2
21	10.10	5.58	0.01	0	1
22	12.88	11.07	6.38	0	0
23	7.75	14.45	8.78	1	0
24	4.60	23.54	25.48	2	0
25	7.10	33.10	53.22	3	0
26	11.39	29.72	69.58	4	0
27	23.75	32.30	66.14	5	0
28	20.66	24.24	53.44	6	1
29	27.35	20.98	38.21	7	2
30	24.45	13.85	20.43	6	3
31	23.55	2.03	5.19	6	4
32	20.50	4.48	0.00	2	5
33	12.33	4.11	0.00	0	2
34	9.85	4.81	2.18	0	1
35	9.60	13.25	8.82	0	0
36	8.94	22.04	19.92	1	0
37	11.72	28.43	34.21	2	0
38	9.28	30.58	35.00	3	0
39	21.70	37.46	42.23	4	0
40	22.39	30.52	32.07	5	0
41	22.90	23.91	19.37	6	1
42	25.12	13.91	4.13	7	2
43	23.99	4.34	0.00	4	3
44	15.46	5.94	0.00	1	1
45	15.11	5.64	0.00	0	0
46	3.32	9.64	0.45	0	0
47	6.41	16.23	22.02	1	0
48	4.40	20.62	42.51	2	0
49	8.00	28.00	69.29	3	0
50	15.71	28.64	83.36	4	0
51	23.59	28.17	73.74	5	0
52	24.18	25.79	61.04	6	1
53	24.97	23.86	45.80	6	2
54	29.17	14.50	28.02	7	3
55	28.08	11.16	10.24	6	4
56	14.02	8.07	0.00	1	5
57	10.54	3.26	0.00	0	2
58	7.19	5.41	4.64	0	1
59	8.81	9.75	18.56	0	0
60	4.67	19.55	30.75	1	0
61	2.39	30.23	59.48	2	0
62	16.28	32.07	82.18	3	0
63	22.78	33.98	72.35	4	0
64	25.58	28.04	62.19	5	0
65	28.70	24.67	49.49	6	1
66	31.33	13.42	34.25	7	2
67	20.58	3.92	19.01	6	3
68	22.87	0.00	3.77	6	4
69	7.86	5.05	0.00	5	5
70	2.31	9.56	0.00	2	6
71	-0.53	14.94	19.30	0	3

